strategy_id,strategy_name,experiment_name,variant,changed_component,status,gender_accuracy,gender_precision,gender_recall,gender_f1,age_mae,age_rmse,age_r2,samples,trainable_parameters,training_seconds,checkpoint,message,age_mae_0_12,age_mae_13_19,age_mae_20_39,age_mae_40_59,age_mae_60_plus,age_support_0_12,age_support_13_19,age_support_20_39,age_support_40_59,age_support_60_plus,test_samples,train_samples,validation_samples
E5,ResNet18 fine-tuning,resnet_finetuning_base,base,ninguno,COMPLETADO,0.920157436041608,0.9201987385749817,0.9201574921607971,0.920170783996582,6.754579544067383,9.512166023254395,0.7622132301330566,3557,8395267,506.1501880539581,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_finetuning_base/best_model.pt,,3.818707227706909,6.703770637512207,4.92728853225708,9.857261657714844,14.240633964538574,509,197,1827,644,380,3557,16593,3555
E5,ResNet18 fine-tuning,resnet_finetuning_unfreeze_more,ablacion,mas bloques descongelados,COMPLETADO,0.9260612876019118,0.9262499213218689,0.9260612726211548,0.9260939359664917,7.561138153076172,10.595481872558594,0.704967200756073,3557,10494979,519.9885076240171,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_finetuning_unfreeze_more/best_model.pt,,4.294297218322754,9.187675476074219,6.349782466888428,9.986778259277344,12.807003021240234,509,197,1827,644,380,3557,16593,3555
E5,ResNet18 fine-tuning,resnet_finetuning_lr_low,ablacion,learning rate menor,COMPLETADO,0.9156592634242339,0.9158060550689697,0.9156593084335327,0.9156908988952637,7.890020370483398,11.126076698303223,0.6746783256530762,3557,8395267,506.9669671279844,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_finetuning_lr_low/best_model.pt,,5.240426540374756,6.315612316131592,5.3564534187316895,10.446447372436523,20.103944778442383,509,197,1827,644,380,3557,16593,3555
E5,ResNet18 fine-tuning,resnet_finetuning_lambda_high,ablacion,lambda_age=0.1,COMPLETADO,0.9277481023334271,0.9278610348701477,0.9277481436729431,0.9277721643447876,5.5616912841796875,7.974994659423828,0.8328564167022705,3557,8395267,506.05275849602185,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_finetuning_lambda_high/best_model.pt,,2.463911771774292,5.112554550170898,5.002403736114502,7.419830799102783,9.48386001586914,509,197,1827,644,380,3557,16593,3555
