strategy_id,strategy_name,experiment_name,variant,changed_component,status,gender_accuracy,gender_precision,gender_recall,gender_f1,age_mae,age_rmse,age_r2,samples,trainable_parameters,training_seconds,checkpoint,message,age_mae_0_12,age_mae_13_19,age_mae_20_39,age_mae_40_59,age_mae_60_plus,age_support_0_12,age_support_13_19,age_support_20_39,age_support_40_59,age_support_60_plus,test_samples,train_samples,validation_samples
E1,Baseline clasico,classical_base,base,ninguno,COMPLETADO,0.8439696373348328,0.8440940976142883,0.8439697027206421,0.8440126180648804,11.597179412841797,14.963844299316406,0.41154229640960693,3557,,14.256540123955347,,,15.690340995788574,13.574286460876465,7.98483419418335,9.97208309173584,25.21141242980957,509,197,1827,644,380,3557,16593,3555
E1,Baseline clasico,classical_pca_50,ablacion,PCA=50 componentes,COMPLETADO,0.8206353668822041,0.8205606937408447,0.8206353187561035,0.8205813765525818,12.160658836364746,15.576395988464355,0.36237865686416626,3557,,10.819120464031585,,,16.78801727294922,14.038825988769531,8.189558982849121,10.492770195007324,26.90802764892578,509,197,1827,644,380,3557,16593,3555
E1,Baseline clasico,classical_pca_200,ablacion,PCA=200 componentes,COMPLETADO,0.8560584762440259,0.8560193181037903,0.8560584783554077,0.856032133102417,11.00471019744873,14.34476375579834,0.45922619104385376,3557,,20.68265754391905,,,14.725369453430176,12.710874557495117,7.76693868637085,9.273048400878906,23.6380558013916,509,197,1827,644,380,3557,16593,3555
E2,MLP multitarea,mlp_base,base,ninguno,COMPLETADO,0.855496204666854,0.8562042713165283,0.8554962277412415,0.8556067943572998,12.131990432739258,17.223773956298828,0.22037535905838013,3557,38568707,472.79959901596885,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/mlp_base/best_model.pt,,6.876391887664795,8.697931289672852,7.8638458251953125,15.617008209228516,35.56662368774414,509,197,1827,644,380,3557,16593,3555
E2,MLP multitarea,mlp_no_dropout,ablacion,dropout=0.0,COMPLETADO,0.8563396120326118,0.8567910194396973,0.8563396334648132,0.856023907661438,11.373879432678223,16.026966094970703,0.3249569535255432,3557,38568707,478.9916374940658,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/mlp_no_dropout/best_model.pt,,7.867144584655762,9.301618576049805,7.726498126983643,14.070306777954102,30.111846923828125,509,197,1827,644,380,3557,16593,3555
E2,MLP multitarea,mlp_lambda_low,ablacion,lambda_age=0.001,COMPLETADO,0.843407365757661,0.8517946004867554,0.843407392501831,0.8433071374893188,17.07158088684082,23.63796615600586,-0.46841585636138916,3557,38568707,488.36589470598847,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/mlp_lambda_low/best_model.pt,,8.369915008544922,8.088464736938477,11.094307899475098,23.43239974975586,51.342472076416016,509,197,1827,644,380,3557,16593,3555
E2,MLP multitarea,mlp_lambda_high,ablacion,lambda_age=0.1,COMPLETADO,0.8318807984256396,0.8493112921714783,0.8318808078765869,0.8311049938201904,10.436638832092285,14.817864418029785,0.42296773195266724,3557,38568707,480.88230077095795,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/mlp_lambda_high/best_model.pt,,6.491498947143555,7.9296417236328125,7.1337151527404785,13.277308464050293,28.086654663085938,509,197,1827,644,380,3557,16593,3555
E3,CNN simple multitarea,cnn_base,base,ninguno,COMPLETADO,0.8746134382906944,0.8745734691619873,0.8746134638786316,0.874575674533844,9.432026863098145,13.212404251098633,0.5412324666976929,3557,286755,486.67807339900173,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/cnn_base/best_model.pt,,8.830357551574707,7.772899627685547,5.822140693664551,11.529806137084961,24.898845672607422,509,197,1827,644,380,3557,16593,3555
E3,CNN simple multitarea,cnn_no_augmentation,ablacion,sin aumentacion,COMPLETADO,0.8765813888107956,0.8776777982711792,0.8765814304351807,0.8762011528015137,9.672037124633789,13.52375316619873,0.5193561315536499,3557,286755,283.32879241905175,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/cnn_no_augmentation/best_model.pt,,8.477492332458496,7.414319038391113,5.980927467346191,12.01954460144043,26.210609436035156,509,197,1827,644,380,3557,16593,3555
E3,CNN simple multitarea,cnn_no_dropout,ablacion,dropout=0.0,COMPLETADO,0.8754568456564521,0.8795937299728394,0.8754569292068481,0.874597430229187,9.200774192810059,12.772662162780762,0.5712622404098511,3557,286755,489.3535628739046,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/cnn_no_dropout/best_model.pt,,8.834915161132812,8.447759628295898,5.9070892333984375,11.25593090057373,22.43394660949707,509,197,1827,644,380,3557,16593,3555
